                 spacepy  spacepy-irbem  spiceypy1  spiceypy2     sunpy  |max-min|
2010-07-05 -4.917801e-04  -4.449804e-04   0.008401   0.011913  0.000899   0.012405
2010-07-06 -4.974088e-04  -5.135751e-04   0.008344   0.011956  0.000799   0.012469
2010-07-07 -5.066151e-04  -5.862476e-04   0.008276   0.011986  0.000685   0.012573
2010-07-08 -5.177443e-04  -6.629791e-04   0.008196   0.012006  0.000561   0.012669
2010-07-09 -5.282378e-04  -7.437485e-04   0.008106   0.012015  0.000429   0.012759
2010-07-10 -5.350137e-04  -8.285316e-04   0.008008   0.012015  0.000294   0.012844
2010-07-11 -5.353019e-04  -9.173015e-04   0.007902   0.012008  0.000162   0.012925
2010-07-12 -5.277071e-04  -1.010028e-03   0.007792   0.011995  0.000034   0.013005
2010-07-13 -5.129928e-04  -1.106677e-03   0.007679   0.011980 -0.000086   0.013086
2010-07-14 -4.940688e-04  -1.207210e-03   0.007566   0.011964 -0.000198   0.013171
2010-07-15 -4.750472e-04  -1.311587e-03   0.007455   0.011949 -0.000306   0.013261
2010-07-16 -4.597733e-04  -1.419761e-03   0.007348   0.011937 -0.000411   0.013357
2010-07-17 -4.505516e-04  -1.531682e-03   0.007245   0.011930 -0.000514   0.013461
2010-07-18 -4.476210e-04  -1.647292e-03   0.007148   0.011926 -0.000616   0.013573
2010-07-19 -4.494371e-04  -1.766533e-03   0.007054   0.011926 -0.000714   0.013693
2010-07-20 -4.534109e-04  -1.889335e-03   0.006965   0.011929 -0.000808   0.013818
2010-07-21 -4.566855e-04  -2.015626e-03   0.006878   0.011934 -0.000895   0.013949
2010-07-22 -4.567330e-04  -2.145326e-03   0.006792   0.011938 -0.000974   0.014083
2010-07-23 -4.517530e-04  -2.278349e-03   0.006705   0.011940 -0.001046   0.014218
2010-07-24 -4.408954e-04  -2.414599e-03   0.006615   0.011938 -0.001112   0.014353
2010-07-25 -4.242971e-04  -2.553976e-03   0.006521   0.011931 -0.001172   0.014485
2010-07-26 -4.029339e-04  -2.696367e-03   0.006420   0.011915 -0.001229   0.014611
2010-07-27 -3.783545e-04  -2.841654e-03   0.006312   0.011890 -0.001287   0.014732
2010-07-28 -3.523960e-04  -2.989707e-03   0.006194   0.011854 -0.001350   0.014844
2010-07-29 -3.269311e-04  -3.140389e-03   0.006065   0.011805 -0.001419   0.014946
2010-07-30 -3.036359e-04  -3.293551e-03   0.005925   0.011743 -0.001498   0.015037
2010-07-31 -2.837697e-04  -3.449032e-03   0.005772   0.011667 -0.001588   0.015116
2010-08-01 -2.679951e-04  -3.606663e-03   0.005607   0.011575 -0.001690   0.015182
2010-08-02 -2.562783e-04  -3.766262e-03   0.005429   0.011469 -0.001805   0.015235
2010-08-03 -2.478590e-04  -3.927634e-03   0.005238   0.011347 -0.001931   0.015275
2010-08-04 -2.412423e-04  -4.090573e-03   0.005036   0.011212 -0.002066   0.015302
2010-08-05 -2.342167e-04  -4.254861e-03   0.004822   0.011062 -0.002207   0.015317
2010-08-06 -2.240308e-04  -4.420266e-03   0.004600   0.010900 -0.002349   0.015321
2010-08-07 -2.079207e-04  -4.586543e-03   0.004369   0.010728 -0.002487   0.015314
2010-08-08 -1.840276e-04  -4.753436e-03   0.004132   0.010546 -0.002619   0.015300
2010-08-09 -1.523961e-04  -4.920674e-03   0.003892   0.010358 -0.002741   0.015278
2010-08-10 -1.154577e-04  -5.087973e-03   0.003650   0.010164 -0.002853   0.015252
2010-08-11 -7.749785e-05  -5.255039e-03   0.003409   0.009967 -0.002959   0.015222
2010-08-12 -4.315206e-05  -5.421561e-03   0.003170   0.009769 -0.003060   0.015191
2010-08-13 -1.562860e-05  -5.587220e-03   0.002934   0.009570 -0.003159   0.015157
2010-08-14  4.407982e-06  -5.751683e-03   0.002701   0.009370 -0.003257   0.015121
2010-08-15  1.876990e-05  -5.914609e-03   0.002471   0.009168 -0.003352   0.015083
2010-08-16  3.071806e-05  -6.075644e-03   0.002243   0.008965 -0.003442   0.015040
2010-08-17  4.368584e-05  -6.234427e-03   0.002016   0.008757 -0.003524   0.014992
